variablesCount;expressionLength;createDuration;useDuration;reductionRate
6;59,03000;0,00005;0,00000;86,48822
7;137,09000;0,00011;0,00001;88,86275
8;322,81000;0,00028;0,00001;90,68297
9;738,73000;0,00091;0,00003;92,15544
10;1628,76000;0,00359;0,00006;93,23107
11;3566,92000;0,01360;0,00013;94,09842
12;7770,68000;0,08447;0,00027;94,81028
13;16780,53000;0,41764;0,00054;95,37563
14;36026,44000;1,83559;0,00116;95,83358
15;76965,10000;7,73062;0,00248;96,23086
16;163825,87000;32,04131;0,00529;96,55786
17;347333,41000;134,13962;0,01111;96,83785
18;734006,31000;555,21186;0,02357;97,08468
19;1546653,75000;2282,00300;0,05131;97,29224
20;3250652,40000;9549,89370;0,10797;97,47387
